iter	Passed	Remaining
0	150	150017
1	151	75567
2	152	50691
3	153	38250
4	154	30825
5	155	25839
6	157	22274
7	158	19622
8	159	17606
9	161	15998
10	162	14635
11	164	13521
12	165	12566
13	166	11749
14	167	11031
15	169	10399
16	170	9833
17	171	9330
18	173	8937
19	174	8564
20	175	8204
21	177	7882
22	178	7585
23	179	7306
24	180	7054
25	181	6813
26	182	6591
27	183	6385
28	185	6194
29	186	6028
30	188	5880
31	189	5722
32	190	5574
33	191	5437
34	192	5310
35	193	5187
36	194	5073
37	196	4965
38	197	4855
39	197	4751
40	198	4652
41	200	4584
42	202	4500
43	203	4416
44	204	4335
45	205	4261
46	206	4191
47	207	4125
48	209	4061
49	210	3994
50	211	3929
51	212	3866
52	213	3810
53	215	3770
54	216	3720
55	217	3666
56	218	3614
57	219	3572
58	221	3528
59	222	3483
60	223	3438
61	224	3397
62	225	3354
63	226	3314
64	228	3280
65	229	3251
66	230	3214
67	232	3179
68	233	3145
69	234	3116
70	235	3084
71	236	3052
72	238	3023
73	239	2993
74	240	2960
75	241	2934
76	243	2916
77	244	2893
78	246	2868
79	247	2846
80	248	2823
81	250	2800
82	250	2771
83	251	2746
84	253	2725
85	254	2704
86	255	2680
87	256	2663
88	258	2646
89	259	2627
90	261	2608
91	262	2587
92	264	2578
93	265	2559
94	266	2539
95	268	2525
96	269	2509
97	271	2500
98	274	2495
99	275	2479
100	276	2465
101	278	2454
102	279	2437
103	281	2421
104	282	2406
105	283	2390
106	284	2373
107	285	2360
108	287	2350
109	288	2336
110	289	2321
111	290	2306
112	292	2292
113	293	2277
114	294	2264
115	295	2252
116	296	2237
117	297	2223
118	298	2210
119	300	2201
120	301	2192
121	302	2178
122	303	2165
123	304	2152
124	305	2141
125	307	2130
126	308	2118
127	309	2108
128	310	2098
129	311	2087
130	312	2075
131	313	2064
132	315	2059
133	317	2048
134	318	2039
135	319	2029
136	320	2020
137	321	2011
138	323	2002
139	324	1994
140	325	1984
141	326	1973
142	327	1963
143	329	1956
144	330	1950
145	331	1941
146	332	1932
147	334	1924
148	335	1917
149	337	1910
150	338	1901
151	339	1894
152	340	1885
153	341	1876
154	343	1870
155	344	1865
156	346	1858
157	347	1849
158	348	1841
159	366	1921
160	367	1913
161	368	1906
162	370	1900
163	371	1894
164	373	1888
165	374	1882
166	376	1876
167	377	1870
168	379	1863
169	380	1858
170	382	1853
171	383	1845
172	384	1839
173	386	1832
174	387	1826
175	389	1825
176	391	1819
177	392	1813
178	394	1808
179	395	1803
180	397	1797
181	398	1791
182	400	1786
183	401	1780
184	403	1775
185	405	1772
186	406	1767
187	407	1761
188	409	1755
189	410	1750
190	412	1746
191	413	1740
192	414	1735
193	416	1729
194	418	1727
195	419	1722
196	421	1716
197	422	1711
198	424	1708
199	426	1704
200	427	1698
201	428	1693
202	430	1689
203	432	1688
204	434	1683
205	435	1678
206	436	1672
207	438	1668
208	439	1663
209	441	1659
210	442	1654
211	443	1650
212	445	1646
213	447	1643
214	448	1639
215	450	1633
216	451	1628
217	452	1624
218	454	1619
219	455	1615
220	456	1610
221	458	1606
222	459	1602
223	461	1598
224	463	1594
225	464	1590
226	466	1587
227	467	1583
228	469	1579
229	470	1575
230	472	1572
231	473	1568
232	476	1568
233	477	1564
234	479	1560
235	480	1556
236	482	1552
237	483	1548
238	485	1545
239	486	1541
240	488	1538
241	490	1536
242	492	1533
243	493	1528
244	494	1524
245	495	1519
246	497	1515
247	498	1511
248	499	1507
249	501	1503
250	502	1499
251	505	1499
252	506	1494
253	507	1490
254	508	1485
255	509	1481
256	511	1479
257	513	1475
258	514	1471
259	515	1467
260	516	1463
261	518	1461
262	520	1457
263	521	1452
264	522	1448
265	523	1443
266	524	1439
267	525	1435
268	526	1431
269	527	1427
270	528	1423
271	529	1418
272	530	1413
273	532	1410
274	533	1406
275	534	1403
276	535	1398
277	536	1394
278	538	1391
279	539	1388
280	540	1384
281	542	1380
282	543	1376
283	544	1371
284	544	1367
285	546	1363
286	547	1361
287	549	1357
288	550	1353
289	551	1349
290	552	1345
291	553	1342
292	554	1339
293	556	1335
294	557	1331
295	558	1327
296	559	1323
297	560	1321
298	562	1319
299	563	1315
300	564	1311
301	565	1307
302	567	1304
303	569	1302
304	570	1299
305	571	1295
306	572	1292
307	573	1288
308	574	1284
309	576	1283
310	577	1279
311	578	1276
312	579	1272
313	581	1269
314	582	1266
315	583	1263
316	585	1260
317	586	1257
318	587	1253
319	588	1250
320	589	1247
321	591	1244
322	592	1241
323	593	1237
324	594	1235
325	596	1232
326	597	1229
327	598	1226
328	599	1223
329	600	1219
330	601	1216
331	602	1212
332	605	1211
333	606	1208
334	607	1206
335	608	1202
336	609	1199
337	611	1196
338	612	1193
339	613	1190
340	614	1187
341	615	1183
342	616	1180
343	617	1176
344	619	1175
345	620	1173
346	621	1170
347	622	1166
348	623	1163
349	625	1160
350	626	1157
351	627	1154
352	628	1151
353	629	1148
354	630	1145
355	631	1141
356	632	1139
357	634	1138
358	636	1135
359	637	1132
360	638	1129
361	639	1127
362	640	1124
363	641	1121
364	642	1118
365	643	1115
366	644	1111
367	645	1108
368	647	1107
369	649	1105
370	650	1102
371	651	1099
372	652	1096
373	653	1093
374	654	1090
375	655	1088
376	656	1085
377	657	1082
378	658	1079
379	659	1076
380	660	1073
381	663	1072
382	664	1070
383	665	1067
384	666	1064
385	667	1062
386	669	1059
387	670	1057
388	671	1054
389	672	1051
390	673	1048
391	674	1045
392	676	1044
393	677	1042
394	679	1040
395	679	1037
396	681	1034
397	682	1031
398	683	1029
399	684	1026
400	685	1024
401	686	1021
402	687	1019
403	688	1016
404	690	1014
405	692	1012
406	693	1009
407	694	1007
408	695	1004
409	696	1002
410	697	999
411	699	997
412	700	995
413	701	992
414	702	990
415	704	988
416	705	986
417	707	984
418	708	981
419	709	979
420	710	977
421	712	975
422	713	972
423	714	970
424	715	968
425	716	965
426	717	963
427	719	962
428	721	960
429	722	958
430	723	955
431	725	953
432	726	951
433	727	948
434	728	946
435	730	944
436	731	942
437	734	943
438	736	941
439	738	939
440	739	937
441	740	935
442	742	933
443	743	931
444	744	928
445	745	926
446	747	924
447	748	922
448	750	920
449	751	918
450	752	915
451	753	913
452	755	911
453	756	909
454	757	907
455	759	905
456	760	903
457	761	901
458	763	899
459	764	897
460	765	894
461	766	892
462	767	890
463	769	888
464	770	886
465	771	884
466	772	882
467	773	879
468	774	877
469	776	875
470	778	873
471	779	871
472	780	869
473	781	867
474	782	864
475	784	863
476	785	861
477	786	859
478	787	856
479	788	854
480	789	852
481	791	851
482	793	848
483	794	846
484	795	844
485	796	842
486	798	840
487	799	838
488	800	836
489	801	834
490	802	832
491	803	829
492	805	828
493	806	826
494	808	824
495	809	822
496	810	820
497	811	818
498	812	816
499	813	813
500	815	811
501	816	810
502	817	807
503	818	805
504	820	803
505	821	802
506	822	800
507	824	798
508	825	796
509	826	794
510	828	792
511	829	790
512	830	788
513	832	786
514	833	784
515	835	783
516	836	781
517	838	779
518	839	778
519	841	776
520	842	774
521	843	772
522	844	770
523	846	768
524	847	766
525	849	765
526	850	763
527	852	761
528	853	760
529	855	758
530	856	756
531	857	754
532	858	752
533	860	750
534	861	748
535	863	747
536	865	746
537	866	744
538	868	742
539	869	740
540	870	738
541	872	737
542	873	735
543	874	733
544	875	731
545	878	730
546	879	728
547	881	726
548	882	724
549	883	723
550	885	721
551	886	719
552	887	717
553	888	715
554	890	713
555	892	712
556	893	710
557	894	708
558	895	706
559	897	705
560	898	703
561	899	701
562	901	699
563	902	697
564	903	695
565	905	693
566	907	693
567	908	691
568	909	689
569	911	687
570	912	685
571	913	683
572	914	681
